Date,Time,Location,Store,Address
14 to 15 May,2205h to 0730h,Marina Bay Sands Casino,,10 Bayfront Avenue
14 May,2220h to 2305h,Sengkang Sports Complex,McDonald's,57 Anchorvale Road
14 May,2250h to 2320h,NTUC FairPrice,,345 Jurong East Street 31
15 May,0700h to 1630h,Canberra Plaza,,133 Canberra View
15 May,0725h to 0755h,Rivervale Plaza,Koufu,118 Rivervale Drive
15 May,0800h to 0830h,Bedok Mall,McDonald's,311 New Upper Changi Road
15 May,0900h to 0930h,Jinwei Hai Xian,,280 Bishan Street 24
15 May,0930h to 1030h,NTUC FairPrice,,279 Bishan Street 24
15 May,1000h to 1100h,Jurong Point,NTUC FairPrice,1 Jurong West Central 2
15 May,1000h to 1120h,Jurong Point,NTUC FairPrice,1 Jurong West Central 2
15 May,1010h to 1055h,Hola Cafeteria,,248 Simei Street 5
15 May,1030h to 1600h,Coronation Shopping Plaza,The Goodburger Food Truck,587 Bukit Timah Road
15 May,1045h to 1120h,Sheng Siong Supermarket,,4 Toa Payoh Lorong 7
15 May,1100h to 1600h,Westgate,Pizza Hut,3 Gateway Drive
15 May,1120h to 1150h,Jurong Point,Watsons,1 Jurong West Central 2
15 May,1155h to 1300h,Woodlands Civic Centre,Woodlands Regional Library,900 South Woodlands Drive
15 May,1200h to 1235h,Changi City Point,Han's,5 Changi Business Park Central 1
15 May,1200h to 1245h,Phoon Huat,,107 Lorong 1 Toa Payoh
15 May,1200h to 1300h,Broadway Coffeeshop,,155 Bukit Batok Street 11
15 May,1200h to 1300h,NTUC FairPrice,,345 Jurong East Street 31
15 May,1230h to 1320h,FairPrice Hub,Decathlon Joo Koon,1 Joo Koon Circle
15 May,1230h to 1335h,Mandai Crematorium and Columbarium Complex,,300 Mandai Road
15 May,1300h to 1400h,Ghim Moh Market and Food Centre,,20 Ghim Moh Road
15 May,1310h to 1400h,Changi Airport Terminal 1,,80 Airport Boulevard
15 May,1310h to 1520h,Causeway Point,Shabu Sai,1 Woodlands Square
15 May,1320h to 1520h,313@Somerset,Josh's Grill,313 Orchard Road
15 May,1330h to 1430h,Far East Plaza,Wok Wei Kitchen,14 Scotts Road
15 May,1415h to 1500h,Bukit Panjang Plaza,POPULAR Bookstore,1 Jelebu Road
15 May,1415h to 1630h,Causeway Point,,1 Woodlands Square
15 May,1425h to 1545h,Far East Plaza,One Care Reflexology and Wellness,14 Scotts Road
15 May,1500h to 1530h,7-Eleven Resorts World Station,,32 Sentosa Gateway
15 May,1500h to 1700h,Lao Si Chuan Dou Hua Zhuang,,46 Temple Street
