Date,Time,Location,Store,Address,lon,lat
29 May,0110h to 0530h,Marina Bay Sands Casino,,10 Bayfront Avenue,103.858562162091,1.28257452719678
29 May,0600h to 1300h,NTUC Foodfare,,308 Anchorvale Road,103.886445107411,1.38925397515391
29 May,0630h to 1300h,Hougang Green Shopping Mall,Fu Fa Food Court,21 Hougang Street 51,103.887847089168,1.37931783471773
29 May,0900h to 1300h,NTUC Foodfare,,308 Anchorvale Road,103.886445107411,1.38925397515391
29 May,1020h to 1100h,The Seletar Mall,,33 Sengkang West Avenue,103.876156956828,1.3913688093851
29 May,1040h to 1140h,Marsiling Lane Food Centre,,20 Marsiling Lane,103.776967080069,1.44339444325539
29 May,1315h to 1500h,Chien Chi Tow Healthcare,,78 Redhill Lane,103.818486786844,1.28843088346846
29 May,1555h to 1645h,Peninsula Plaza Singapore,,111 North Bridge Road,103.85080450702,1.29232248414936
29 May,1815h to 1915h,Thong Sheng Motors Trading,,7 Pioneer Road North,103.695427890578,1.32483634845564
29 May,1820h to 2000h,VivoCity,FairPrice Xtra,1 HarbourFront Walk,103.82238251183,1.26427727331345
29 May,1840h to 1950h,ESR BizPark@Chai Chee,Decathlon,750A Chai Chee Road,103.922124606113,1.32297820248267
29 to 30 May,1930h to 0000h,NTUC Foodfare,,308 Anchorvale Road,103.886445107411,1.38925397515391
29 May,2000h to 2035h,Prime Supermarket,,763 Jurong West Street 75,103.698292005963,1.34872644269897
29 May,2030h to 2055h,Plaza Singapura,Cold Storage,68 Orchard Road,103.845067272666,1.30082071769235
29 May,2030h to 2115h,Plaza Singapura,,68 Orchard Road,103.845067272666,1.30082071769235
30 May,1100h to 2200h,Hougang Green Shopping Mall,Pizza Hut,21 Hougang Street 51,103.887847089168,1.37931783471773
30 May,1125h to 1200h,Ang Mo Supermarket,,642 Hougang Avenue 8,103.879948293051,1.37169878879802
30 May,1200h to 1300h,Bugis Street,,3 New Bugis Street,103.854935164999,1.30056609522079
30 May,1800h to 1900h,Hong Yang Health Products & Foot Reflexology Centre,,38 Beo Crescent,103.827290023383,1.28855393184563
30 to 31  May,2005h to 0005h,Marina Bay Sands Casino,,10 Bayfront Avenue,103.858562162091,1.28257452719678
1 Jun,1000h to 1230h,JIC Inspection Services,,53 Pioneer Road,103.657832233969,1.31133149338762
1 Jun,1100h to 1230h,VICOM Inspection Centre,,511 Bukit Batok Street 2,103.755832339467,1.34175978313366
1 Jun,1955h to 2030h,The Seletar Mall,NTUC FairPrice,33 Sengkang West Avenue,103.876156956828,1.3913688093851
