Date,Time,Location,Store,Address
16 Jun,0940h to 1010h,Geylang Bahru Market and Food Centre,,69 Geylang Bahru
16 Jun,1020h to 1900h,Katong Shopping Centre,Central Recruitment Solutions Pte Ltd,865 Mountbatten Road
16 Jun,1430h to 1500h,Redhill Market,,79 Redhill Lane
16 Jun,1740h to 1955h,*SCAPE,Equilibrium Mixed Martial Arts,2 Orchard Link
16 Jun,1810h to 1900h,Tiong Bahru Plaza,,298 Tiong Bahru Road
17 Jun,0945h to 1020h,NTUC FairPrice Finest,,202 Hougang Street 21
17 Jun,1015h to 1840h,Katong Shopping Centre,Central Recruitment Solutions Pte Ltd,865 Mountbatten Road
17 Jun,1035h to 1240h,NTUC FairPrice,,166 Bukit Merah Central
17 Jun,1100h to 1300h,Bedok Point,Teo Heng KTV Studio,799 New Upper Changi Road
17 Jun,1145h to 1230h,Tiong Bahru Plaza,,298 Tiong Bahru Road
17 Jun,1250h to 1430h,Tiong Bahru Plaza,Khai Yong Heng Goldsmith,298 Tiong Bahru Road
17 Jun,1255h to 1325h,Tiong Bahru Plaza,Khai Yong Heng Goldsmith,298 Tiong Bahru Road
17 Jun,1535h to 1710h,Hairpost Beauty Salon,,162 Bukit Merah Central
17 Jun,1605h to 1810h,IKEA Tampines,,60 Tampines North Drive 2
17 Jun,1640h to 1715h,People's Park Centre,,101 Upper Cross Street
17 Jun,1640h to 1715h,People's Park Centre,Citri Mobile,101 Upper Cross Street
17 Jun,1745h to 1825h,Sim Lim Square,,1 Rochor Canal Road
17 Jun,1815h to 2020h,NTUC FairPrice,,166 Bukit Merah Central
17 Jun,2000h to 2100h,Market Square @ Downtown East,,1 Pasir Ris Close
18 Jun,0945h to 2000h,ION Orchard,Monster Curry,2 Orchard Turn
18 Jun,1010h to 1800h,Katong Shopping Centre,Central Recruitment Solutions Pte Ltd,865 Mountbatten Road
18 Jun,1225h to 1300h,Lucky Plaza,,304 Orchard Road
18 Jun,1225h to 1345h,*SCAPE,Equilibrium Mixed Martial Arts,2 Orchard Link
18 Jun,1315h to 1345h,Prime Supermarket,,823 Tampines Street 81
18 Jun,1330h to 1800h,Redhill MRT Station,Bakery Point,920 Tiong Bahru Road
18 Jun,1400h to 1500h,Funan Mall,Premium Eyecare,107 North Bridge Road
18 Jun,1425h to 1505h,Katong Shopping Centre,Central Recruitment Solutions Pte Ltd,865 Mountbatten Road
18 Jun,1545h to 1800h,Northpoint City,,930 Yishun Avenue 2
18 Jun,1745h to 1920h,Mulan/Kyawt Na Di Beauty Salon,,175 Boon Lay Drive
18 Jun,1800h to 1950h,VivoCity,,1 HarbourFront Walk
19 Jun,0115h to 0230h,China Square,Livewire,51 Telok Ayer Street
19 Jun,0945h to 2000h,ION Orchard,Monster Curry,2 Orchard Turn
19 Jun,0845h to 0930h,Our Tampines Hub,Public Service Centre,1 Tampines Walk
19 Jun,0955h to 1645h,Katong Shopping Centre,Central Recruitment Solutions Pte Ltd,865 Mountbatten Road
19 Jun,1045h to 1220h,Pasir Panjang Wholesale Centre,Zenxin Organic Food Singapore,1 Wholesale Centre
19 Jun,1055h to 1200h,*SCAPE,Equilibrium Mixed Martial Arts,2 Orchard Link
19 Jun,1100h to 1400h,Redhill Market,,79 Redhill Lane
19 Jun,1100h to 1800h,Katong Shopping Centre,Top Employment Pte Ltd,865 Mountbatten Road
19 Jun,1700h to 1900h,Redhill Market,,79 Redhill Lane
19 Jun,1835h to 2135h,Orchid Hotel,JJ Dance Movement,1 Tras Link
20 Jun,0630h to 0900h,Redhill Market,,79 Redhill Lane
20 Jun,0640h to 0710h,Giant Express,,86 Redhill Close
20 Jun,0810h to 0900h,Eastpoint Mall,NTUC FairPrice,3 Simei Street 6
20 Jun,0945h to 2000h,ION Orchard,Monster Curry,2 Orchard Turn
20 Jun,1100h to 1330h,Katong Shopping Centre,Top Employment Pte Ltd,865 Mountbatten Road
20 Jun,1100h to 1400h,Redhill Market,,79 Redhill Lane
20 Jun,1700h to 1900h,Redhill Market,,79 Redhill Lane
20 Jun,1755h to 1930h,Great World City,,1 Kim Seng Promenade
20 Jun,1820h to 1855h,Giant Supermarket,,316B Ang Mo Kio Street 31
20 Jun,1820h to 1855h,Hotel 81 Selegie,,161 Selegie Road
21 Jun,0630h to 0900h,Redhill Market,,79 Redhill Lane
21 Jun,0800h to 0955h,Eastpoint Mall,NTUC FairPrice,3 Simei Street 6
21 Jun,1800h to 1900h,Guan Kim Restaurant,,47 Tanglin Halt Road
21 Jun,1830h to 2000h,Grand Hyatt Singapore,StraitsKitchen,10 Scotts Road
21 Jun,1835h to 1940h,Peperoni Pizzeria,,267 Upper Thomson Road
22 Jun,1345h to 1510h,Hotel 81 Selegie,,161 Selegie Road
22 Jun,1750h to 2020h,IKEA Tampines,,60 Tampines North Drive 2
22 Jun,1820h to 1850h,Tiong Bahru Plaza,NTUC FairPrice,302 Tiong Bahru Road
22 Jun,1905h to 1940h,Plaza Singapura,Kopitiam,68 Orchard Road
22 Jun,2010h to 2100h,Lucky Plaza,J Star Mobile Electronic,304 Orchard Road
22 Jun,2015h to 2200h,COURTS Megastore,,50 Tampines North Drive 2
22 Jun,2110h to 2145h,313@somerset,,313 Orchard Road
22 Jun,2145h to 2225h,Orchard Central,,181 Orchard Road
23 Jun,1200h to 1230h,Depot Heights Shopping Centre,Yue Hua Food Court,108 Depot Road
23 Jun,1425h to 1540h,Sheng Siong Supermarket,,19 Serangoon North Avenue 5
24 Jun,1400h to 1430h,NTUC FairPrice,,166 Bukit Merah Central
